,date,open,high,low,close,volume,trades,average
0,20190422,69.58,69.71,69.01,69.09,98643,48440,69.3125
1,20190423,68.84,69.3,68.37,69.2,104339,55619,68.9545
2,20190424,68.99,69.22,68.4,68.83,75193,35763,68.882
3,20190425,68.56,69.18,68.15,68.73,72741,36714,68.8235
4,20190426,68.9,69.58,68.51,69.51,75340,36657,69.1075
5,20190429,69.64,71.94,69.58,71.03,133957,63597,71.184
6,20190430,71.02,71.33,70.22,70.7,85239,42767,70.616
7,20190501,70.68,71.17,69.74,69.96,113573,58617,70.345
8,20190502,69.74,70.48,69.48,70.36,102224,49408,70.1225
9,20190503,70.39,70.98,70,70.67,90564,43073,70.6215
10,20190506,69.05,70.67,68.76,70.41,102741,48893,70.033
11,20190507,69.35,69.5,67.62,68.16,151217,76058,68.381
12,20190508,67.88,68.85,67.71,68.22,72404,38152,68.4825
13,20190509,66.83,67.86,66.43,67.63,147400,73731,67.1375
14,20190510,67.27,68.1,66.53,67.9,101782,56687,67.404
15,20190513,66.13,66.33,63.96,64.38,184236,91649,64.9075
16,20190514,64.62,65.97,64.35,65.26,122383,63632,65.348
17,20190515,64.48,65.23,64.02,64.87,116687,53260,64.8515
18,20190516,65.31,66.39,65.17,65.98,85611,41013,65.947
19,20190517,64.97,65.93,64.89,65.07,94977,43894,65.384
20,20190520,64.75,65.5,64.52,64.96,95579,47474,65.0685
21,20190521,65.5,66.09,65.2,66.08,88951,40867,65.788
22,20190522,65.84,65.92,64.64,64.66,101768,45624,65.0705
23,20190523,63.82,63.94,63.08,63.9,125255,62395,63.4645
24,20190524,64.29,64.72,64.06,64.39,80087,38396,64.4095
25,20190528,64.09,64.45,63.76,63.79,88992,43099,64.169
26,20190529,63.15,63.83,62.72,63.71,116805,56488,63.31
27,20190530,64.77,65.25,63.25,63.61,115209,55100,64.0095
28,20190531,62.39,62.87,61.97,62.15,132062,58701,62.3805
29,20190603,62.1,62.78,61.94,62.61,162975,74985,62.35
30,20190604,63.79,65.94,63.76,65.88,144499,70367,65.1955
31,20190605,65.45,66.02,64.5,65.78,103119,52820,65.4325
32,20190606,65.82,66.77,65.5,66.47,82628,41206,66.1705
33,20190607,66.16,66.8,65.62,65.69,97210,45781,66.0325
34,20190610,66.88,67.98,66.73,67.12,90273,47755,67.4925
35,20190611,67.58,68.03,67.16,67.88,83566,42545,67.6835
36,20190612,67.65,67.81,66.63,66.81,82865,38317,67.118
37,20190613,66.83,67.44,66.76,67.08,70606,33228,67.089
38,20190614,67.15,67.73,66.5,67.48,64727,30710,67.1315
39,20190617,67.5,67.51,66.4,66.54,65163,30979,66.999
40,20190618,66.81,68.25,66.5,67.98,98605,50638,67.827
41,20190619,68.16,68.59,67.58,67.59,94219,50815,68.029
42,20190620,68.56,68.72,67.23,68.1,107471,53644,67.892
43,20190621,68.03,68.96,67.82,67.97,109281,50264,68.4365
