,date,open,high,low,close,volume,trades,average
0,20190422,67.685,67.81,67.13,67.205,98643,48440,67.42316509
1,20190423,66.965,67.41,66.505,67.315,104339,55619,67.07492354
2,20190424,67.11,67.335,66.535,66.955,75193,35763,67.00439976
3,20190425,66.69,67.295,66.29,66.855,72741,36714,66.94749436
4,20190426,67.02,67.685,66.645,67.615,75340,36657,67.22375303
5,20190429,67.74,69.98,67.685,69.095,133957,63597,69.24365135
6,20190430,69.085,69.385,68.305,68.775,85239,42767,68.69113401
7,20190501,68.755,69.23,67.84,68.055,113573,58617,68.42752099
8,20190502,67.835,68.56,67.58,68.44,102224,49408,68.20959886
9,20190503,68.91,69.49,68.53,69.185,90564,43073,69.13867288
10,20190506,67.6,69.185,67.315,68.93,102741,48893,68.56252951
11,20190507,67.895,68.04,66.2,66.73,151217,76058,66.94521626
12,20190508,66.455,67.405,66.29,66.79,72404,38152,67.04458508
13,20190509,65.425,66.435,65.035,66.21,147400,73731,65.72782581
14,20190510,65.86,66.67,65.135,66.475,101782,56687,65.98873015
15,20190513,64.74,64.935,62.615,63.03,184236,91649,63.54464872
16,20190514,63.265,64.585,63.0,63.89,122383,63632,63.97589962
17,20190515,63.125,63.86,62.675,63.51,116687,53260,63.48982454
18,20190516,63.94,64.995,63.8,64.595,85611,41013,64.56232253
19,20190517,63.605,64.545,63.53,63.705,94977,43894,64.01114374
20,20190520,63.39,64.125,63.165,63.595,95579,47474,63.70226823
21,20190521,64.125,64.7,63.83,64.695,88951,40867,64.40666102
22,20190522,64.46,64.535,63.285,63.3,101768,45624,63.70422624
23,20190523,62.48,62.595,61.755,62.56,125255,62395,62.13194714
24,20190524,62.94,63.36,62.715,63.04,80087,38396,63.05710514
25,20190528,62.745,63.095,62.42,62.45,88992,43099,62.82165488
26,20190529,61.825,62.49,61.405,62.37,116805,56488,61.98069115
27,20190530,63.41,63.88,61.92,62.275,115209,55100,62.66550387
28,20190531,61.08,61.55,60.67,60.845,132062,58701,61.07070769
29,20190603,60.795,61.46,60.64,61.295,162975,74985,61.0408481
30,20190604,62.45,64.555,62.42,64.495,144499,70367,63.82660164
31,20190605,64.075,64.635,63.145,64.4,103119,52820,64.05862539
32,20190606,64.44,65.37,64.125,65.075,82628,41206,64.78112974
33,20190607,64.77,65.395,64.24,64.31,97210,45781,64.6460273
34,20190610,65.475,66.555,65.33,65.71,90273,47755,66.07537194
35,20190611,66.16,66.6,65.75,66.455,83566,42545,66.26236154
36,20190612,66.23,66.385,65.23,65.405,82865,38317,65.70873525
37,20190613,65.425,66.025,65.36,65.67,70606,33228,65.68034415
38,20190614,65.74,66.31,65.105,66.065,64727,30710,65.72195179
39,20190617,66.085,66.095,65.005,65.145,65163,30979,65.59223387
40,20190618,65.405,66.815,65.105,66.555,98605,50638,66.4028485
41,20190619,66.73,67.15,66.16,66.17,94219,50815,66.60060714
42,20190620,67.12,67.275,65.82,66.67,107471,53644,66.4664837
43,20190621,66.6,67.51,66.395,66.545,109281,50264,66.99955093
44,20190624,66.395,67.07,65.965,65.995,82039,40820,66.4331976
45,20190625,66.045,66.065,65.085,65.145,104597,50314,65.47475349
46,20190626,65.63,66.3,65.36,65.81,98005,48872,65.8781028
47,20190627,66.2,66.995,66.11,66.72,80194,39336,66.62361371
48,20190628,67.825,68.735,67.67,68.56,130038,65544,68.30505167
49,20190701,69.37,70.135,68.715,69.255,107364,52768,69.37412314
50,20190702,68.885,69.49,68.62,68.96,86724,41751,68.97224234
51,20190703,69.225,69.705,68.805,69.36,58208,30951,69.33251551
52,20190705,69.775,70.29,69.49,69.9,73413,38166,69.81956959
53,20190708,69.275,70.185,69.155,69.635,84130,44080,69.76915092
54,20190709,69.05,70.165,68.93,70.055,71606,35816,69.80194753
55,20190710,70.0,70.43,69.165,69.635,102573,45839,69.72852229
56,20190711,69.93,70.49,69.595,70.105,91565,44658,70.09613798
57,20190712,70.29,70.51,70.075,70.265,130986,61078,70.29732314
58,20190715,70.225,70.635,68.61,70.205,186982,82945,70.01145421
59,20190716,70.195,70.49,69.595,69.825,139219,67754,69.99530066
60,20190717,69.695,70.0,69.135,69.335,103922,48279,69.59635686
61,20190718,69.06,70.39,69.0,70.285,107295,55155,70.05061434
62,20190719,70.225,70.655,69.37,69.43,88592,41181,69.89152632
63,20190722,69.235,69.795,69.185,69.615,56683,27169,69.4857295
64,20190723,69.765,70.665,69.765,70.48,94874,41140,70.40697149
65,20190724,70.175,71.555,70.155,71.475,103803,43381,70.99094689
66,20190725,71.43,71.545,69.44,69.89,129978,56814,70.30172865
67,20190726,70.635,71.115,70.33,70.645,79890,36478,70.73053204
68,20190729,70.4,70.82,70.225,70.255,66542,30545,70.51270384
69,20190730,69.54,70.205,69.1,70.205,73436,33384,69.67859313
70,20190731,69.9,70.155,69.325,69.665,108801,57589,69.75348687
71,20190801,69.205,69.62,66.175,66.915,193637,95385,67.57474402
72,20190802,66.69,67.13,65.71,66.69,124244,61093,66.38666976
73,20190805,64.705,64.92,63.7,64.29,171651,79187,64.39520283
74,20190806,65.1,65.425,63.945,65.345,103009,50467,64.78333668
75,20190807,63.75,64.43,62.77,64.25,152458,74599,63.57011017
76,20190808,64.95,65.88,64.735,65.83,104632,49101,65.49598396
77,20190809,65.555,65.66,64.32,65.15,110327,53210,65.06395696
78,20190812,63.73,63.905,62.97,63.365,110194,52833,63.44089661
79,20190813,63.03,65.06,62.645,63.945,156277,76085,64.35772104
80,20190814,62.025,62.18,60.345,60.575,232524,102839,61.00852541
81,20190815,61.135,61.52,59.89,60.485,138171,64999,60.6327211
82,20190816,61.085,62.79,61.005,62.615,132294,56318,62.17194059
83,20190819,63.935,64.025,63.285,63.435,101602,46734,63.61351014
84,20190820,62.85,63.215,62.485,62.555,80332,36840,62.82787199
85,20190821,63.255,63.295,62.2,62.385,104065,43514,62.63651757
86,20190822,62.94,63.335,62.545,63.04,70540,32186,63.0705173
87,20190823,62.415,63.255,60.68,61.105,135212,70858,61.87603168
88,20190826,61.715,61.965,61.32,61.865,80811,35751,61.62648184
89,20190827,62.15,62.24,60.325,60.82,122677,55708,60.91186183
90,20190828,60.465,61.945,60.465,61.51,92948,39829,61.54609325
91,20190829,62.445,63.355,62.24,63.03,97601,41987,62.9422901
92,20190830,63.465,63.935,63.305,63.47,87854,37964,63.61893513
93,20190903,63.125,63.165,61.47,62.555,98691,47952,62.26367235
94,20190904,63.125,63.6,62.97,63.405,80246,31817,63.35064439
95,20190905,64.755,66.365,64.715,65.435,124154,56276,65.72777927
96,20190906,65.285,65.595,64.855,65.07,83126,38774,65.24791366
97,20190909,65.89,68.355,65.78,67.85,163185,72052,67.40607594
98,20190910,68.235,69.055,67.515,68.04,147385,68503,68.1059005
99,20190911,67.785,68.275,67.18,67.96,98670,49020,67.87805065
100,20190912,67.18,69.105,67.005,68.355,131546,64798,68.30761174
101,20190913,69.38,69.775,68.895,69.43,114511,57076,69.42318832
102,20190916,68.02,69.155,68.02,68.88,78372,37595,68.7460501
103,20190917,68.83,68.83,67.735,68.535,80369,39846,68.35692989
104,20190918,68.265,69.39,68.02,69.135,87973,45928,68.759366
105,20190919,69.105,69.51,68.64,68.78,77017,38449,69.14059531
106,20190920,69.195,69.58,68.385,68.405,132193,56756,69.00250449
107,20190923,67.685,68.75,67.675,68.6,62229,30146,68.4235094
108,20190924,68.55,68.62,66.63,66.975,120997,56748,67.34788053
109,20190925,66.985,68.75,66.945,68.435,90497,42321,68.13845048
110,20190926,68.375,68.58,67.86,68.17,68958,32339,68.28295267
111,20190927,68.87,69.4,68.11,68.515,83076,42082,68.72780239
112,20190930,68.85,68.945,68.07,68.14,56363,27572,68.30218675
113,20191001,68.62,69.31,67.085,67.22,104537,49228,67.85881657
114,20191002,66.835,66.875,65.285,65.355,115482,53603,65.72876563
115,20191003,65.18,65.82,63.905,65.79,93911,49270,65.06938195
116,20191004,65.85,67.31,65.75,67.25,83240,40305,66.69441503
117,20191007,66.945,67.9,66.935,67.22,62670,29503,67.38980095
118,20191008,66.115,66.265,65.12,65.495,112348,50837,65.71495655
119,20191009,66.085,66.845,65.88,66.51,67205,32063,66.4256311
120,20191010,66.845,68.345,66.63,67.685,79280,38162,67.83908931
121,20191011,69.035,69.965,69.035,69.145,120128,61055,69.50160418
122,20191014,68.58,69.54,68.515,69.28,92994,42077,69.21112027
123,20191015,69.215,71.095,67.765,70.25,190413,84892,70.29957186
124,20191016,69.855,70.485,68.475,68.55,136990,60072,69.10212715
125,20191017,69.075,69.38,68.235,68.65,94218,45758,68.82397278
126,20191018,68.375,69.135,68.195,68.79,82090,34495,68.7514751
127,20191021,69.56,70.91,69.56,70.83,105200,46790,70.47908993
128,20191022,70.74,71.875,70.495,71.075,92225,40873,71.19321675
129,20191023,70.92,71.48,70.75,71.46,76967,34794,71.14241906
130,20191024,71.56,71.865,70.88,71.315,60564,28801,71.2159031
131,20191025,70.99,72.42,70.83,72.17,88938,38643,72.0908071
